,case,k
0,kc_10_77,3.6568334328358206e-08
1,kc_20_77,9.142095074626866e-09
2,kc_30_77,4.054107462686567e-09
3,kc_45_77,1.813901641791045e-09
4,kc_30_79,4.3993611594202905e-09
5,kc_20_79,9.920671159420292e-09
6,kc_45_79,1.9683708695652176e-09
7,kc_10_79,3.968261594202899e-08
8,kc_30_85,6.287121333333332e-09
9,kc_20_85,1.4177546666666667e-08
10,kc_45_85,2.813001333333333e-09
11,kc_10_85,5.671041333333332e-08
12,kc_20_89,1.8316087341772154e-08
13,kc_45_89,3.6341291139240506e-09
14,kc_30_89,8.122365316455697e-09
15,kc_10_89,7.326446202531646e-08
16,kc_45_95,5.464880459770115e-09
17,kc_30_95,1.221416091954023e-08
18,kc_20_95,2.7543120689655168e-08
19,kc_10_95,1.1017270114942527e-07
